COUNTRY_NAME,GEM_PGA_mean,GEM_PGA_median,log_GEM_PGA
Angola,0.010027181560365198,0.006217982378213595,0.00997724292704012
Albania,0.3832259871178163,0.38339949677433516,0.3244184428896191
United Arab Emirates,0.014055903787294982,0.007826427933483466,0.013958035589414984
Argentina,0.10136256145137786,0.027456039999999963,0.09654810548657632
Armenia,0.32211537711443244,0.32269519999999996,0.27923301229180586
Australia,0.0218811294799251,0.01657338483742693,0.021645173353308234
Austria,0.07819153276603025,0.07138698186341356,0.07528513088460861
Burundi,0.1295201547206455,0.14602832822884093,0.12179290069823423
Belgium,0.04485573395135189,0.04135708598862604,0.04387882225142415
Benin,0.00494424032238702,0.0,0.004932057705559633
Burkina Faso,0.0,0.0,0.0
Bangladesh,0.24936605575833917,0.2271892600759312,0.2226362672740868
Bulgaria,0.16115369225581083,0.15349304993617113,0.14941407315837227
Bosnia and Herzegovina,0.15824642590950946,0.14880431045520215,0.1469071595421148
Belarus,0.0008143410579461547,0.0,0.0008140096621674151
Belize,0.11776432194095884,0.09309159045711514,0.11133054923792904
Bolivia,0.10446355662754293,0.03884766584716226,0.09935974797608702
Brazil,0.006408888769619457,0.0,0.006388439168297572
Barbados,0.3186479381639643,0.3182628999999887,0.2766069223858087
Bhutan,0.29962465090387636,0.28451190000007504,0.2620754927029969
Botswana,0.009752732848353199,0.0,0.009705481918087382
Central African Republic,0.007314462651718309,0.0,0.007287841702915627
Canada,0.03307851858921245,0.018495532060357256,0.032543197499800454
Switzerland,0.08072718784823023,0.07265935000000001,0.0776341366382118
Chile,0.418828983464288,0.43411349999999993,0.34983187186224984
China,0.120514849540429,0.09632077993794878,0.11378826677292973
Cameroon,0.014252865926821538,0.012085955943270764,0.014152248761577538
"Congo, Dem. Rep.",0.044294888752068586,0.01872805971096269,0.04334191006648013
"Congo, Rep.",0.023342946545275193,0.019125992374103194,0.023074666905056808
Colombia,0.16497521894690678,0.1312298,0.15269981550121803
Comoros,0.020188641196966863,0.023993710000000005,0.019987552546419096
Costa Rica,0.5908371694650497,0.5877591530480484,0.46426039934437013
Cyprus,0.28565932081443857,0.2702826364181352,0.2512716768894195
Germany,0.022206956254858835,0.013228390000000001,0.021963972508752823
Djibouti,0.1845282978041317,0.18517132217438148,0.16934463441503037
Denmark,0.0023839936650717672,0.0,0.002381156460531285
Dominican Republic,0.38556152666350424,0.39471358947676527,0.3261054918870602
Algeria,0.025980975533880925,0.0,0.02564920421202755
Ecuador,0.4080996281549424,0.42740070886716774,0.3422410138653483
"Egypt, Arab Rep.",0.025234651710451004,0.00936067711332558,0.024921514888242444
Spain,0.056737144427095446,0.041530895702139664,0.05518599519284316
Estonia,0.018459343627618,0.016005887307636416,0.018291037996591965
Ethiopia,0.04532882910135954,0.010822390007325402,0.04433150491538532
Finland,0.008679889885015828,0.0066252609925827695,0.008642436213924631
Fiji,0.1605243477908019,0.1370274102393613,0.14887192694380827
France,0.1719843886106713,0.1686475847229883,0.15869837076804288
Gabon,0.018019116039291773,0.014523320870026467,0.01785869598669367
United Kingdom,0.16440640169301818,0.17619949639817298,0.15221143072119342
Georgia,0.2840428922065294,0.2957778999999999,0.2500136098551021
Ghana,0.02204033447747285,0.014476421495788844,0.021800957223361124
Guinea,0.0232533357880463,0.021294932548870635,0.02298709637826586
"Gambia, The",0.011049880972533465,0.010709251433318915,0.010989277073006913
Guinea-Bissau,0.03139339322663459,0.0317763400000002,0.030910696977822363
Greece,0.32230469295499714,0.32144944787453505,0.27937619365926775
Grenada,0.3180314214425882,0.3170138728581335,0.2761392760408972
Guatemala,0.4078048553868022,0.4204654501536109,0.3420316511039764
Honduras,0.2577988820297178,0.2641413999977936,0.2293632742969439
Croatia,0.14968335482790468,0.1297016,0.13948656083323327
Hungary,0.056058162877221596,0.050675756726394766,0.054543262249523244
Indonesia,0.21794514004224608,0.18530215701014174,0.1971651272571099
India,0.13699185377674997,0.08868516005506318,0.1283860500784846
Ireland,0.0,0.0,0.0
"Iran, Islamic Rep.",0.260699785387391,0.2570246946702405,0.23166695202217855
Iceland,0.1006232248095507,0.07689409712995114,0.09587658737394998
Israel,0.21065369495628053,0.18206139999999585,0.19116045749504557
Italy,0.170441669133315,0.1639971391829328,0.1573811725620982
Jamaica,0.2948356460543995,0.2870422923585838,0.2583837728535
Jordan,0.11739514536097392,0.06997669678408235,0.11100021344869997
Japan,0.38054070018571234,0.31814841042559605,0.32247523415971896
Kazakhstan,0.02512350137977519,0.005957607416383171,0.02481309448313695
Kenya,0.04503934312996203,0.02593248,0.04405453363626455
Kyrgyz Republic,0.2725228584411473,0.2549946423658217,0.2410014326927113
Kiribati,0.00041653885714285717,0.0,0.00041645212891605073
